"","UBI_band","band_status","year","species","age","fixed_sex","site"
"2530","9000-12158","1",2006,"BTLH","AHY","F","KV1"
"2531","9000-12159","1",2006,"BTLH","AHY","F","KV1"
"2532","9000-12160","1",2006,"BTLH","AHY","F","GNMTN"
"2533","9000-12161","1",2006,"BTLH","AHY","F","GNMTN"
"2534","9000-12162","1",2006,"BTLH","AHY","F","GNMTN"
"2535","9000-12163","1",2006,"BTLH","AHY","F","GNMTN"
"2536","9000-12164","1",2006,"BTLH","AHY","F","GNMTN"
"2537","9000-12165","1",2006,"BTLH","AHY","F","GNMTN"
"2538","9000-12166","1",2006,"BTLH","AHY","F","HOLZ"
"2539","9000-12167","1",2006,"BTLH","AHY","F","HOLZ"
"2540","9000-12168","1",2006,"BTLH","AHY","F","HOLZ"
"2541","9000-12169","1",2006,"BTLH","AHY","F","HOLZ"
"2542","9000-12170","1",2006,"BTLH","AHY","F","MCGC"
"2543","9000-12192","1",2006,"BTLH","HY","M","MCGC"
"2544","9000-12195","1",2006,"BTLH","HY","M","MP1"
"2545","9000-12200","1",2006,"BTLH","AHY","M","GNMTN"
"2546","9000-12231","1",2006,"BTLH","HY","M","MCGC"
"2547","9000-12232","1",2006,"BTLH","HY","M","MCGC"
"2548","9000-12233","1",2006,"BTLH","HY","M","MCGC"
"2549","9000-12235","1",2006,"BTLH","AHY","M","MCGC"
"2550","9000-12236","1",2006,"BTLH","HY","M","MP1"
"2551","9000-12238","1",2006,"BTLH","HY","M","MCGC"
"2552","9000-12239","1",2006,"BTLH","HY","M","MCGC"
"2553","9000-12240","1",2006,"BTLH","HY","M","MCGC"
"2554","9000-12241","1",2006,"BTLH","AHY","M","MCGC"
"2555","9000-12242","1",2006,"BTLH","HY","M","MCGC"
"2556","9000-12243","1",2006,"BTLH","HY","M","MCGC"
"2557","9000-12244","1",2006,"BTLH","HY","M","MCGC"
"2558","9000-12245","1",2006,"BTLH","HY","M","MP1"
"2559","9000-12246","1",2006,"BTLH","HY","M","MCGC"
"2560","9000-12247","1",2006,"BTLH","HY","M","MCGC"
"2561","9000-12248","1",2006,"BTLH","AHY","M","MCGC"
"2562","9000-12249","1",2006,"BTLH","HY","M","MCGC"
"2563","9000-12250","1",2006,"BTLH","HY","M","MCGC"
"2564","9000-12251","1",2006,"BTLH","AHY","F","MCGC"
"2565","9000-12252","1",2006,"BTLH","AHY","F","MCGC"
"2566","9000-12253","1",2006,"BTLH","AHY","F","MCGC"
"2567","9000-12254","1",2006,"BTLH","AHY","F","MCGC"
"2568","9000-12255","1",2006,"BTLH","AHY","F","MCGC"
"2569","9000-12256","R",2006,"BTLH","AHY","F","MCGC"
"2570","9000-12257","1",2006,"BTLH","AHY","F","MCGC"
"2571","9000-12258","1",2006,"BTLH","AHY","F","MCGC"
"2572","9000-12259","1",2006,"BTLH","AHY","F","MCGC"
"2573","9000-12260","1",2006,"BTLH","AHY","F","MCGC"
"2574","9000-12261","1",2006,"BTLH","HY","M","MCGC"
"2575","9000-12262","1",2006,"BTLH","AHY","F","MCGC"
"2576","9000-12263","1",2006,"BTLH","AHY","F","CC2"
"2577","9000-12264","1",2006,"BTLH","HY","F","CC2"
"2578","9000-12265","1",2006,"BTLH","HY","F","CC2"
"2579","9000-12266","1",2006,"BTLH","AHY","F","CC2"
"2580","9000-12267","1",2006,"BTLH","AHY","F","MCGC"
"2581","9000-12268","1",2006,"BTLH","AHY","F","MCGC"
