"","band","band_status","recap_yr","recaptured_sex","recapture_age","site_recap","r1","comments"
"27","4100-59415","R",2012,"F","AHY","KV1","5/27, E6, 3.99",""
"28","4100-59882","R",2012,"M","AHY","KV1","5/27, 3.4",""
"29","4100-59346","R",2012,"F","AHY","KV1","5/27, 3.3",""
"30","4100-59588","R",2012,"F","AHY","KV1","5/27, E7, 3.7",""
"31","3100-42164","R",2012,"F","AHY","KV1","5/27, E6+, 3.7",""
"32","4100-08158","R",2012,"F","AHY","KV1","5/27, E6, 3.9",""
"33","4100-08622","R",2012,"F","AHY","GNMTN","5/27, 3.6",""
"34","4100-59428","R",2012,"F","AHY","GNMTN","5/27, E8, 4.3",""
"35","9000-90143","R",2012,"F","AHY","GNMTN","5/27, 3.5",""
"36","4100-08629","R",2012,"F","AHY","GNMTN","5/27, E9, 4.4",""
"37","4100-59489","R",2012,"F","AHY","GNMTN","5/27, E9, 4.2",""
"38","3100-42227","R",2012,"F","AHY","GNMTN","5/27, E9, 4.4",""
"39","4100-59389","R",2012,"F","AHY","GNMTN","5/27, E8, 4",""
"40","9100-23041","R",2012,"M","AHY","GNMTN","5/27, ",""
"41","4100-08915","R",2012,"F","AHY","GNMTN","5/27, 4",""
"42","3100-42225","R",2012,"F","AHY","HOLZ","5/27, E6, 4",""
"43","9000-40108","R",2012,"F","AHY","HOLZ","5/27, E8, 4.3",""
"44","4100-59598","R",2012,"M","AHY","HOLZ","5/27, 3.3",""
"45","4100-08546","R",2012,"F","AHY","HOLZ","5/27, E8, 4",""
