"band","band_status","recap_yr","sex","site_orig","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","comments"
"4000-47775","R",2004,"F","MCGC","5/28, 3.4g","5/29, 3.3g","6/1, 3.7g E7","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47776","R",2004,"F","MCGC","6/1, 3.4g ltw","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47779","R",2004,"F","MCGC","6/15, 3.4g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47784","R",2004,"M","MCGC","6/13, 3.1g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47788","R",2004,"F","MCGC","6/13, 3.5g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47790","R",2004,"F","MCGC","6/13, 3.5g","6/16, 3.4g","6/17, 3.5g","6/18, 3.6g","6/26, 3.7g htw","6/28, 3.5g","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47791","R",2004,"F","MCGC","7/24, 3.6g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47793","R",2004,"F","MCGC","6/18, 3.5g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47794","R",2004,"F","MCGC","5/15, 4.0g","6/15, 3.6g","6/16, 4.0g 2x","6/27, 3.6g","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47796","R",2004,"F","MCGC","6/13, 3.2g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47797","R",2004,"F","MCGC","6/13, 3.3g","6/15, 3.4g","6/15, 3.4g 2x","6/16, 3.4g 2x","6/17, 3.4g","6/19, 3.5g","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47798","R",2004,"M","MCGC","6/15, 3.0g","6/16, 3.0g","6/18, 3.1g","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29451","R",2004,"F","MCGC","6/15, 3.2g 2x","6/16, 3.3g 2x","6/17, 3.2g","6/18, 3.6g","7/14, 3.6g","7/19, 3.3g ","7/21, 3.1g mtw ","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29452","R",2004,"F","MCGC","6/17, 3.4g","6/26, 3.5g","6/27, 3.8g","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29453","R",2004,"F","MCGC","6/17, 3.7g E8","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29456","R",2004,"F","MCGC","6/15, 3.2g","6/16, 3.5g","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29458","R",2004,"F","MCGC","6/16, 3.4g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29459","R",2004,"F","MCGC","6/17, 3.5g","6/18, 4.0g","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29462","R",2004,"F","MCGC","7/14, 3.3g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29463","R",2004,"F","MCGC","6/17, 3.2g","7/15, 3.1g ltw","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29467","R",2004,"F","MCGC","6/16, 3.3g 3x","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29470","R",2004,"M","MCGC","6/17, 3.5g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29475","R",2004,"F","MCGC","6/17, 3.2g","6/18, 3.1g","7/15, 3.4g","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29478","R",2004,"F","MCGC","6/17, 3.9g 2x","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29482","R",2004,"F","MCGC","6/18, 3.4g","7/24, 3.4g","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29486","R",2004,"F","MCGC","7/10, 3.5g","7/11, 3.7g","7/24, 3.5g","7/28, 3.4g","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29496","R",2004,"F","KV1","7/25, 3.4g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29498","R",2004,"F","KV1","7/6, 3.6g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
